what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533477198
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533496992
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581533502717
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581533502880
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581533503208
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581533503913
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581533523740
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581533524474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581533540308
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533541376
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533541778
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533542335
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533545701
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533546466
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533547534
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581533551704
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581533552328
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581533552328
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533557618
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533557691
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533563025
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533564070
error,log,,,"The program file specified in the launch configuration does not exist",1581533564098
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533564125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533567748
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581533568622
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1581533569239
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1581533569239
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1581533569250
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.search",1581533569261
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1581533569261
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1581533583247
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1581533583248
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1581533583248
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1581533583249
started,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1581533583249
started,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1581533583250
