what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1581536718767
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1581536718767
java.vm.specification.version,sysinfo,,,"1.0",1581536718767
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1581536718767
java.vm.version,sysinfo,,,"16.3-b01",1581536718767
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1581536721195
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1581536721208
started,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1581536721252
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1581536721277
started,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1581536721305
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1581536721419
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1581536721440
started,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1581536721442
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1581536721446
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536721590
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1581536721596
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1581536721622
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1581536721733
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1581536721739
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536730677
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1581536730730
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1581536731226
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581536731253
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581536731371
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581536732876
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536759903
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536760596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581536806457
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581536811827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581536836302
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581536838970
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581536839720
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581536841665
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581536869032
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581536881728
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581536990551
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581537006660
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581537007797
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581537024835
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537026043
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537026375
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1581537033136
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1581537033183
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1581537033186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537033199
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537033261
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1581537033287
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1581537033294
started,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1581537033320
started,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1581537033667
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1581537033668
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1581537033669
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537067066
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537068141
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537112880
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537114298
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537114678
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537115818
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1581537157172
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581537206160
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537207638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537207902
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581537398645
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581537400369
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537412152
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537413793
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537473037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537475049
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537496199
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537497384
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537539796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537541491
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1581537541506
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1581537545698
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581537545700
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1581537548918
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537549040
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537579149
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537582448
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581537599125
