what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581366272452
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581366272529
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366313509
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366314705
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366315082
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366321649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581366661044
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581366662653
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581366677101
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366678882
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366679086
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1581366679686
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1581366679839
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1581366679842
started,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1581366679862
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366680431
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366684574
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581366747963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366748944
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366749332
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366750397
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581366752254
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581366757289
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581366757480
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581366757647
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581366757803
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581366760521
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581366760522
