what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926397396
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1580926456758
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1580926466247
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580926546067
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926547272
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926547355
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926548293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926551365
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580926608501
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926610320
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926610410
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926611517
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926613461
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1580926629893
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580926640036
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926641191
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926641531
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580926760516
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926761750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926762063
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580926801545
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926803705
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926803993
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580926815265
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926816391
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926816672
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580926968649
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927034909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580927049713
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927050942
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927051228
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927116493
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927155849
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1580927161672
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1580927162599
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1580927401991
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580927520157
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927521469
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927521803
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580927526403
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580927539513
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580927553799
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927555083
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927555305
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580927642237
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927643640
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927643945
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580927645446
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580927733207
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580927745154
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927746253
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927746587
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580927748289
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927801625
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927924930
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580927932091
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1580927934454
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1580927936126
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580927938924
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927940327
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927940639
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580927942851
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580927942851
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927946423
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927968957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580927977542
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580928017771
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580928017847
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580928017924
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580928082217
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580928193354
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580928231818
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580928232768
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580928241363
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580928272166
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580928569730
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580928591104
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929131027
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929136576
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1580929598787
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1580929598971
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1580929600158
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580929629912
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929631117
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929631602
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929632113
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929632151
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580929641643
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929643613
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929643830
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580929650068
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929651451
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929651722
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580929666303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929667676
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929668063
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580929681095
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929682242
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929682568
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1580929722072
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1580929722788
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929740499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929763345
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1580929784057
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1580929784516
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580929800855
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929802196
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929802447
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929803368
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929804832
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580929831229
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929832255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929832582
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580929838864
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929839853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929840102
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929840892
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929842162
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929852654
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929852832
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929853752
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929855311
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580929856079
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929860564
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929889389
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580929895489
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580929899134
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929900836
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929901083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929902534
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580929903936
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580929904801
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580930018140
