what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582384487157
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582384489621
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582384490324
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582384857174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582384861687
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582384861967
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1582384982284
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1582384987997
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582384991008
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582384992240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582384992488
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582385327932
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582385361582
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1582385368707
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582385376582
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1582385381285
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1582385382411
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582385389827
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1582385390247
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1582385390321
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582385818672
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1582386025853
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582386057943
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1582386386260
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1582386389958
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1582386430862
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582386442355
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386483948
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386483993
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386484009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386488918
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1582386506301
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582386511553
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386515675
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386515718
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386515733
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386518294
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1582386523848
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1582386524820
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582386538606
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582386590037
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1582386598148
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386599504
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386599694
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386609580
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582386609624
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1582386610980
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1582386802860
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1582386844944
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582387942322
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1582387942744
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1582387942744
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1582387942755
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.search",1582387942764
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1582387942765
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.ui",1582387942783
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1582568107777
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1582568107778
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1582568107779
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1582568107779
started,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1582568107779
started,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1582568107780
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1582568107780
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1582568107781
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1582568107782
started,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1582568107782
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1582568107783
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1582568107783
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1582568107784
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1582568107785
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1582568107785
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1582568107786
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1582568107787
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1582568107787
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1582568107788
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1582568107789
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1582568107789
