what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.showInformation",1581534130559
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534131343
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534212451
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534262719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581534290519
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581534292699
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581534328150
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534329499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534329933
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581534371603
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581534371839
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581534398124
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534399322
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534399689
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534417597
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534418465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534421625
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534599507
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534766261
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581534910139
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535569071
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535569981
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535574966
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535577855
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1581535577897
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535597474
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535812961
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1581535817624
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535817829
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535829317
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535830951
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535872385
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535876102
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535881268
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581535881376
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581535881498
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535897072
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535929374
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535935178
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535976195
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581535988475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536088123
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536139327
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536143195
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536143478
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536144799
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536146047
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536150416
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536379172
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.showInformation",1581536379191
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536380922
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536431187
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536433134
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536433330
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536437313
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581536608587
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581536610266
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581536616034
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581536617562
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581536631399
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536632558
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536632701
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536633991
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536636099
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536644186
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.showInformation",1581536644207
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536648928
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581536661114
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536662528
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536662874
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581536676972
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581536677301
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581536684450
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581536686014
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581536686014
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581536687367
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581536687555
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536688648
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536689921
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581536690048
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1581536690561
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1581536690561
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1581536690569
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.search",1581536690580
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1581536690580
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1581536702313
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1581536702314
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1581536702314
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1581536702315
started,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1581536702315
started,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1581536702316
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1581536702317
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1581536702317
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1581536702318
started,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1581536702318
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1581536702318
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1581536702319
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1581536702319
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1581536702319
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1581536702320
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1581536702320
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1581536702320
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1581536702321
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1581536702321
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1581536702321
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1581536702322
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1581536702322
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1581536702322
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1581536702323
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1581536702323
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1581536702324
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1581536702325
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1581536702325
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1581536702326
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1581536702326
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1581536702327
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1581536702328
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1581536702329
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1581536702330
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1581536702331
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1581536702332
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1581536702332
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1581536702333
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1581536702334
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1581536702335
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1581536702335
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1581536702336
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1581536702447
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1581536702448
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1581536702448
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1581536702449
