what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580327935735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580327938387
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580327992730
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1580328049168
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1580328051068
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1580328053382
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1580328054218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328055213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328150205
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328194019
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328238693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328294905
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328378531
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1580328419023
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328419214
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328442363
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328446812
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328456409
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580328456550
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580328456685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328458405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328564656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328598920
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328658525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328684130
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328719804
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1580328736733
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328745866
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580328746553
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1580328747307
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1580328748489
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1580328751904
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1580328756076
